epo: 251, rat: 1.00e-02, err: 5.47e-01, obj: 1.09e+00, dat: 1.34e-01, fpp: 1.60e+00, bpp: 1.40e+00, upd: 3.99e-03, val_err:6.56e-01
epo: 253, rat: 1.00e-02, err: 5.55e-01, obj: 1.04e+00, dat: 1.33e-01, fpp: 1.49e+00, bpp: 1.51e+00, upd: 4.02e-03, val_err:6.55e-01
epo: 255, rat: 1.00e-02, err: 5.47e-01, obj: 1.09e+00, dat: 1.44e-01, fpp: 1.62e+00, bpp: 1.50e+00, upd: 4.09e-03, val_err:5.95e-01
epo: 257, rat: 1.00e-02, err: 5.16e-01, obj: 1.08e+00, dat: 1.29e-01, fpp: 1.60e+00, bpp: 1.51e+00, upd: 3.93e-03, val_err:6.28e-01
epo: 259, rat: 1.00e-02, err: 5.86e-01, obj: 1.15e+00, dat: 1.87e-01, fpp: 1.60e+00, bpp: 1.39e+00, upd: 4.13e-03, val_err:6.07e-01
epo: 261, rat: 1.00e-02, err: 5.31e-01, obj: 1.05e+00, dat: 1.31e-01, fpp: 1.50e+00, bpp: 1.51e+00, upd: 3.99e-03, val_err:6.29e-01
epo: 263, rat: 1.00e-02, err: 5.86e-01, obj: 1.10e+00, dat: 1.32e-01, fpp: 1.61e+00, bpp: 1.49e+00, upd: 3.92e-03, val_err:6.32e-01
epo: 265, rat: 1.00e-02, err: 5.86e-01, obj: 1.11e+00, dat: 1.32e-01, fpp: 1.62e+00, bpp: 1.41e+00, upd: 3.93e-03, val_err:6.27e-01
epo: 267, rat: 1.00e-02, err: 5.86e-01, obj: 1.09e+00, dat: 1.68e-01, fpp: 1.50e+00, bpp: 1.51e+00, upd: 4.03e-03, val_err:6.19e-01
epo: 269, rat: 1.00e-02, err: 6.25e-01, obj: 1.10e+00, dat: 1.31e-01, fpp: 1.61e+00, bpp: 1.50e+00, upd: 4.05e-03, val_err:6.20e-01
epo: 271, rat: 1.00e-02, err: 6.41e-01, obj: 1.11e+00, dat: 1.39e-01, fpp: 1.61e+00, bpp: 1.40e+00, upd: 3.87e-03, val_err:6.04e-01
epo: 273, rat: 1.00e-02, err: 6.02e-01, obj: 1.10e+00, dat: 1.34e-01, fpp: 1.50e+00, bpp: 1.50e+00, upd: 4.11e-03, val_err:6.09e-01
epo: 275, rat: 1.00e-02, err: 6.56e-01, obj: 1.11e+00, dat: 1.25e-01, fpp: 1.60e+00, bpp: 1.51e+00, upd: 3.88e-03, val_err:6.25e-01
epo: 277, rat: 1.00e-02, err: 5.00e-01, obj: 1.06e+00, dat: 2.11e-01, fpp: 1.61e+00, bpp: 1.52e+00, upd: 3.88e-03, val_err:6.00e-01
epo: 279, rat: 1.00e-02, err: 5.94e-01, obj: 1.12e+00, dat: 1.32e-01, fpp: 1.60e+00, bpp: 1.39e+00, upd: 3.91e-03, val_err:6.18e-01
epo: 281, rat: 1.00e-02, err: 6.02e-01, obj: 1.09e+00, dat: 1.34e-01, fpp: 1.50e+00, bpp: 1.51e+00, upd: 4.07e-03, val_err:6.80e-01
epo: 283, rat: 1.00e-02, err: 6.17e-01, obj: 1.09e+00, dat: 1.38e-01, fpp: 1.61e+00, bpp: 1.50e+00, upd: 3.92e-03, val_err:6.73e-01
epo: 285, rat: 1.00e-02, err: 5.94e-01, obj: 1.09e+00, dat: 1.30e-01, fpp: 1.60e+00, bpp: 1.39e+00, upd: 3.84e-03, val_err:6.12e-01
epo: 287, rat: 1.00e-02, err: 5.55e-01, obj: 1.07e+00, dat: 2.09e-01, fpp: 1.49e+00, bpp: 1.50e+00, upd: 3.99e-03, val_err:5.96e-01
epo: 289, rat: 1.00e-02, err: 5.70e-01, obj: 1.09e+00, dat: 1.33e-01, fpp: 1.61e+00, bpp: 1.50e+00, upd: 3.94e-03, val_err:6.10e-01
epo: 291, rat: 1.00e-02, err: 5.55e-01, obj: 1.06e+00, dat: 1.33e-01, fpp: 1.61e+00, bpp: 1.42e+00, upd: 3.86e-03, val_err:5.95e-01
epo: 293, rat: 1.00e-02, err: 5.55e-01, obj: 1.04e+00, dat: 1.36e-01, fpp: 1.51e+00, bpp: 1.53e+00, upd: 4.05e-03, val_err:6.09e-01
